time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010500349642	108.085	13.6675	1.48666	-0.171787	0.0975557	lidar	0.00673496	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.097	13.6691	1.5846	-0.167528	0.102125	radar	0.00932591	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.534	13.5663	1.56982	0.0195683	0.155623	lidar	0.00523771	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.496	13.5611	1.49485	0.0115035	0.150197	radar	0.0102816	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	111.056	12.6424	1.57637	-0.769854	-0.446234	lidar	0.492266	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.151	12.6839	2.28084	-0.690268	-0.347986	radar	0.225834	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	112.895	12.4537	1.19731	-0.248687	0.156013	lidar	2.1795	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.902	12.4366	1.7996	-0.232585	0.162616	radar	0.317463	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.791	12.5306	2.04368	0.244188	0.374739	lidar	0.101323	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.805	12.5348	1.89017	0.251314	0.38009	radar	0.0256985	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	116.672	12.1511	1.48857	-0.21688	-0.17689	lidar	0.818355	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	116.725	12.1734	2.16747	-0.218289	-0.160317	radar	0.40422	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	118.94	11.9858	2.41335	-0.0422881	0.0660456	lidar	0.182573	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	118.924	11.9868	2.20839	-0.048123	0.0620421	radar	0.0442136	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	120.704	12.2796	1.79942	0.23896	0.216221	lidar	0.146983	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	120.757	12.2819	2.16417	0.23771	0.213519	radar	0.141567	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	123.536	12.8355	3.28351	0.167131	0.0123601	lidar	0.528782	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	123.435	12.8194	2.46855	0.19328	0.031169	radar	0.7233	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	124.922	12.7909	1.2088	0.0166547	-0.109962	lidar	0.602704	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	125.051	12.8129	2.45232	0.0102296	-0.111715	radar	1.61905	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	127.835	13.3076	3.11134	0.280696	0.157916	lidar	0.438228	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	127.757	13.3049	2.66657	0.281944	0.16603	radar	0.213864	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	129.953	13.7105	2.20935	0.215119	0.00504919	lidar	0.232363	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	130.031	13.7196	2.42509	0.202388	-0.00470617	radar	0.0661674	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	132.098	14.4964	2.2888	0.404805	0.141758	lidar	0.0946234	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	132.173	14.502	2.70136	0.390857	0.124654	radar	0.176362	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	135.052	15.0612	3.12989	0.0920435	-0.176192	lidar	0.593539	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	135.044	15.0522	2.68131	0.0918777	-0.180147	radar	0.209681	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	137.559	16.1827	2.7024	0.544895	0.267676	lidar	1.09423	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	137.598	16.1782	3.12713	0.529039	0.239902	radar	0.159631	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	140.322	17.0283	2.76487	0.2873	-0.105401	lidar	1.20831	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	140.335	17.0329	2.91914	0.282752	-0.108723	radar	0.0246642	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	142.892	17.984	2.85203	0.343974	0.0142709	lidar	0.103494	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	142.85	17.9783	2.91983	0.342454	0.0101874	radar	0.0111448	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	145.393	19.1561	2.96801	0.466181	0.0920812	lidar	0.0479305	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	145.475	19.167	3.10279	0.45687	0.0842763	radar	0.0384463	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	148.244	20.4773	3.29253	0.440818	0.00980173	lidar	0.0520583	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	148.226	20.4749	2.98424	0.454008	0.0263994	radar	0.0952743	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	150.687	22.1062	3.1449	0.637815	0.139834	lidar	0.110638	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	150.681	22.1028	3.35153	0.625304	0.120781	radar	0.038841	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	153.415	23.5027	3.13862	0.432579	-0.1068	lidar	0.650272	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	153.402	23.4985	2.9762	0.438476	-0.100079	radar	0.0261828	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	156.044	24.803	3.15653	0.427681	-0.035363	lidar	0.0414653	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	156.034	24.8025	2.83687	0.438568	-0.0192295	radar	0.101929	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	158.889	26.0278	3.46255	0.367704	-0.060476	lidar	0.126919	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	158.905	26.0304	3.1714	0.373859	-0.0503274	radar	0.0887128	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	161.421	27.4192	2.94805	0.520271	0.0917104	lidar	0.209946	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	161.453	27.4254	2.94065	0.520164	0.0931871	radar	0.00354916	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	163.631	28.7733	2.61158	0.580726	0.0722686	lidar	0.0397786	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	163.75	28.7946	3.01067	0.548003	0.0408495	radar	0.190684	164.116	29.315	164.155	28.8064	2.64354	1.28825
1477010525349642	166.803	30.2068	3.75838	0.346253	-0.140632	lidar	0.360142	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	166.75	30.1908	2.98597	0.369681	-0.113399	radar	0.62449	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	169.108	31.3657	2.67773	0.437679	0.0176974	lidar	0.162239	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	169.136	31.3695	2.88286	0.431326	0.00923793	radar	0.0431983	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	172.155	32.3439	3.51185	0.229281	-0.14705	lidar	0.266601	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	172.143	32.3366	2.93652	0.233571	-0.143432	radar	0.345354	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	174.649	33.4466	2.78795	0.439477	0.106039	lidar	0.475378	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	174.633	33.4441	2.74532	0.439719	0.106653	radar	0.00252673	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	177.027	34.2142	2.56459	0.290078	-0.078013	lidar	0.209817	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	177.047	34.2176	2.56409	0.286835	-0.0805719	radar	0.00138371	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	180.119	35.1311	3.71938	0.290399	-0.020496	lidar	0.436354	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	179.991	35.1093	2.66933	0.309405	0.00567809	radar	1.1891	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	182.592	35.7563	2.90281	0.209303	-0.0695137	lidar	0.0510683	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.5	35.7374	2.51791	0.216156	-0.0643388	radar	0.176777	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	184.734	36.505	2.48717	0.353828	0.0782654	lidar	0.0960584	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	184.733	36.5057	2.29402	0.357933	0.084123	radar	0.0383606	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	186.938	36.9548	2.35348	0.156138	-0.116839	lidar	0.14528	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	187.004	36.9679	2.45365	0.147681	-0.123183	radar	0.0237369	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	189.459	37.3974	2.73469	0.160454	-0.0286448	lidar	0.0604057	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	189.479	37.4017	2.31921	0.163212	-0.0251638	radar	0.18432	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	191.732	37.5684	2.42098	0.0342588	-0.0977114	lidar	0.0244416	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	191.7	37.5606	2.19597	0.0306289	-0.102451	radar	0.0537398	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	193.482	37.2881	1.79926	-0.22045	-0.207353	lidar	0.0767886	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
1477010536349642	193.511	37.2958	2.12362	-0.207453	-0.192251	radar	0.0907965	193.555	37.4234	193.738	37.3853	2.02462	0.0250452
1477010537349642	195.966	37.3693	2.60592	0.176448	0.210882	lidar	0.472579	195.991	37.3991	195.762	37.3598	1.92349	-0.072386
1477010537349642	195.864	37.3621	1.89815	0.145885	0.192995	radar	0.551607	195.507	37.4891	195.762	37.3598	1.92349	-0.072386
1477010538349642	197.72	37.7312	2.06482	0.279054	0.151506	lidar	0.0130304	197.725	37.7285	197.683	37.2395	1.81869	-0.159495
1477010538349642	197.676	37.7227	1.93112	0.282295	0.153918	radar	0.023893	197.582	37.303	197.683	37.2395	1.81869	-0.159495
